#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
231.294735,100,500.706249
761.745979,100,501.087267
582.156177,100,501.459962
830.962808,100,501.83535
791.014435,100,502.217577
1.450417,100,502.577693
323.739024,100,502.978514
602.159659,100,503.363447
0.59577,100,503.744042
940.359622,100,504.118796
512.515237,100,504.506606
313.421758,100,504.911885
4.077841,100,505.308584
740.306638,100,505.667952
751.961074,100,506.046201
870.343028,100,506.417084
2.328506,100,506.818061
2.687097,100,508.058466
1.184218,100,508.415717
670.969054,100,508.769783
742.7974,100,509.135224
142.765845,100,509.509921
32.103484,100,509.867326
4.80493,100,510.245353
712.094804,100,510.610274
553.142257,100,510.968211
3.383555,100,511.348913
450.747042,100,511.698642
1.149748,100,512.058092
4.987178,100,512.444021
44.138525,100,512.809802
0.890548,100,513.162696
358.584257,100,513.523202
4.223628,100,513.887904
941.268505,100,514.271149
